     x         Time        Delta
    01   0.00075311   0.00000000
    02   0.00219151   0.00143840
    03   0.00236461   0.00017310
    04   0.00286391   0.00049930
    05   0.00460621   0.00174230
    06   0.00216801  -0.00243820
    07   0.00202541  -0.00014260
    08   0.00651561   0.00449020
    09   0.00869511   0.00217950
    10   0.00834111  -0.00035400
    11   0.00829511  -0.00004600
    12   0.00891591   0.00062080
    13   0.00922321   0.00030730
    14   0.00973051   0.00050730
    15   0.01060271   0.00087220
    16   0.01139711   0.00079440
    17   0.01159621   0.00019910
    18   0.01303161   0.00143540
    19   0.01342391   0.00039230
    20   0.01407241   0.00064850
    21   0.01704111   0.00296870
    22   0.01870481   0.00166370
    23   0.01573491  -0.00296990
    24   0.01692761   0.00119270
    25   0.01714391   0.00021630
    26   0.02058431   0.00344040
    27   0.01909491  -0.00148940
    28   0.02256211   0.00346720
    29   0.02066141  -0.00190070
    30   0.02239671   0.00173530
    31   0.02139771  -0.00099900
    32   0.02297201   0.00157430
    33   0.02330341   0.00033140
    34   0.02412471   0.00082130
    35   0.02781861   0.00369390
    36   0.02671271  -0.00110590
    37   0.02974861   0.00303590
    38   0.05641951   0.02667090
    39   0.05840351   0.00198400
    40   0.06751871   0.00911520
    41   0.06526331  -0.00225540
    42   0.06795571   0.00269240
    43   0.07211071   0.00415500
    44   0.07524381   0.00313310
    45   0.07592091   0.00067710
    46   0.08357451   0.00765360
    47   0.08487801   0.00130350
    48   0.08638521   0.00150720
    49   0.09334041   0.00695520
    50   0.09381631   0.00047590
    51   0.09918151   0.00536520
    52   0.10614141   0.00695990
    53   0.10697651   0.00083510
    54   0.11133911   0.00436260
    55   0.11517171   0.00383260
    56   0.11875661   0.00358490
    57   0.12520481   0.00644820
    58   0.12934951   0.00414470
    59   0.13225651   0.00290700
    60   0.13486741   0.00261090
    61   0.14280961   0.00794220
    62   0.14745781   0.00464820
    63   0.14979661   0.00233880
    64   0.15556661   0.00577000
    65   0.16015951   0.00459290
    66   0.16292241   0.00276290
    67   0.17044241   0.00752000
    68   0.17458941   0.00414700
    69   0.17564611   0.00105670
    70   0.18130571   0.00565960
    71   0.18566711   0.00436140
    72   0.19588811   0.01022100
    73   0.19714321   0.00125510
    74   0.19956151   0.00241830
    75   0.20585511   0.00629360
    76   0.22224911   0.01639400
    77   0.21676841  -0.00548070
    78   0.21866391   0.00189550
    79   0.22508231   0.00641840
    80   0.24182731   0.01674500
