     x     superLSP   scratchLSP        Delta
    01   0.00160539   0.00796749  -0.00636210
    02   0.00071428   0.00263869  -0.00192441
    03   0.00219079   0.01086199  -0.00867120
    04   0.00240979   0.00899589  -0.00658610
    05   0.00288689   0.01059419  -0.00770730
    06   0.00142949   0.00424499  -0.00281550
    07   0.00625469   0.01055049  -0.00429580
    08   0.00627009   0.01214969  -0.00587960
    09   0.00591899   0.01280909  -0.00689010
    10   0.00969249   0.01326759  -0.00357510
    11   0.00737299   0.01360529  -0.00623230
    12   0.00752099   0.01296889  -0.00544790
    13   0.00788699   0.01383619  -0.00594920
    14   0.00841949   0.01371069  -0.00529120
    15   0.01019499   0.01659069  -0.00639570
    16   0.01021199   0.01652299  -0.00631100
    17   0.01111939   0.01836319  -0.00724380
    18   0.01098999   0.01874229  -0.00775230
    19   0.01129169   0.01998689  -0.00869520
    20   0.01258289   0.02061819  -0.00803530
    21   0.01227859   0.02265419  -0.01037560
    22   0.01456509   0.02548259  -0.01091750
    23   0.01482029   0.03014719  -0.01532690
    24   0.01663399   0.03072879  -0.01409480
    25   0.01586409   0.03272999  -0.01686590
    26   0.01538729   0.03526099  -0.01987370
    27   0.01557739   0.03710799  -0.02153060
    28   0.01637439   0.04047529  -0.02410090
    29   0.02270329   0.04385889  -0.02115560
    30   0.01790649   0.04582329  -0.02791680
    31   0.02196979   0.04934099  -0.02737120
    32   0.02491549   0.05066789  -0.02575240
    33   0.02373989   0.05331809  -0.02957820
    34   0.02175019   0.05386099  -0.03211080
    35   0.02350909   0.05682809  -0.03331900
    36   0.02700109   0.06168829  -0.03468720
    37   0.02528009   0.06350789  -0.03822780
    38   0.05222259   0.06357379  -0.01135120
    39   0.05571479   0.06695699  -0.01124220
    40   0.05798269   0.06961859  -0.01163590
    41   0.06036039   0.07491149  -0.01455110
    42   0.06423289   0.07714059  -0.01290770
    43   0.06735469   0.08125049  -0.01389580
    44   0.07420269   0.09120329  -0.01700060
    45   0.07561999   0.09122739  -0.01560740
    46   0.07781479   0.09318079  -0.01536600
    47   0.07982899   0.09339459  -0.01356560
    48   0.08407129   0.09649419  -0.01242290
    49   0.08729639   0.10075939  -0.01346300
    50   0.09816599   0.12338039  -0.02521440
    51   0.09598659   0.10988809  -0.01390150
    52   0.09719719   0.11002559  -0.01282840
    53   0.10247779   0.11738779  -0.01491000
    54   0.10668599   0.12217169  -0.01548570
    55   0.11067259   0.12400909  -0.01333650
    56   0.11343709   0.13739449  -0.02395740
    57   0.11420989   0.13169999  -0.01749010
    58   0.12021159   0.13569139  -0.01547980
    59   0.12632269   0.14088139  -0.01455870
    60   0.12723279   0.14191589  -0.01468310
    61   0.13825019   0.15319399  -0.01494380
    62   0.13408129   0.15083209  -0.01675080
    63   0.13822619   0.15559969  -0.01737350
    64   0.14322599   0.15751619  -0.01429020
    65   0.14542189   0.16195239  -0.01653050
    66   0.15173589   0.16880449  -0.01706860
    67   0.15432789   0.17244729  -0.01811940
    68   0.15563399   0.17661159  -0.02097760
    69   0.16241109   0.18099349  -0.01858240
    70   0.17180739   0.19301469  -0.02120730
    71   0.18127979   0.19865159  -0.01737180
    72   0.18480399   0.19969919  -0.01489520
    73   0.18830539   0.20244359  -0.01413820
    74   0.18918569   0.21016989  -0.02098420
    75   0.20230529   0.21766869  -0.01536340
    76   0.20271989   0.22139909  -0.01867920
    77   0.20823259   0.22471519  -0.01648260
    78   0.20918229   0.22813149  -0.01894920
    79   0.21749409   0.22783159  -0.01033750
    80   0.21889979   0.23784059  -0.01894080
