     x   twostepLSP   scratchLSP        Delta
    01   0.00461369   0.00872209  -0.00410840
    02   0.00473829   0.00960779  -0.00486950
    03   0.00306249   0.00324489  -0.00018240
    04   0.00582869   0.01166369  -0.00583500
    05   0.00557879   0.01229739  -0.00671860
    06   0.00646399   0.01071129  -0.00424730
    07   0.00808229   0.01321299  -0.00513070
    08   0.00847789   0.01514929  -0.00667140
    09   0.01131369   0.01408709  -0.00277340
    10   0.00980979   0.01507059  -0.00526080
    11   0.01072509   0.01408119  -0.00335610
    12   0.01061369   0.01408039  -0.00346670
    13   0.01094709   0.01475399  -0.00380690
    14   0.01076089   0.01612589  -0.00536500
    15   0.01097639   0.01578269  -0.00480630
    16   0.01330019   0.01770809  -0.00440790
    17   0.01333739   0.01905979  -0.00572240
    18   0.01333669   0.01941279  -0.00607610
    19   0.01381489   0.02121689  -0.00740200
    20   0.01319459   0.02166749  -0.00847290
    21   0.01640189   0.02567479  -0.00927290
    22   0.01567449   0.02795899  -0.01228450
    23   0.01688129   0.02824419  -0.01136290
    24   0.01634379   0.02970599  -0.01336220
    25   0.01872029   0.03358279  -0.01486250
    26   0.02045259   0.03661119  -0.01615860
    27   0.01980039   0.03677769  -0.01697730
    28   0.01979809   0.03938829  -0.01959020
    29   0.02113769   0.04081529  -0.01967760
    30   0.01939099   0.04399449  -0.02460350
    31   0.02286969   0.04894529  -0.02607560
    32   0.02227679   0.04812579  -0.02584900
    33   0.02395739   0.05045249  -0.02649510
    34   0.02410479   0.05401129  -0.02990650
    35   0.02739129   0.05585049  -0.02845920
    36   0.02518449   0.05969169  -0.03450720
    37   0.03034799   0.06382749  -0.03347950
    38   0.05282229   0.06445569  -0.01163340
    39   0.05745879   0.06871389  -0.01125510
    40   0.06141849   0.07242819  -0.01100970
    41   0.06089539   0.07489709  -0.01400170
    42   0.07183289   0.07846399  -0.00663110
    43   0.06837899   0.07963979  -0.01126080
    44   0.07385839   0.08602959  -0.01217120
    45   0.07712359   0.09182349  -0.01469990
    46   0.07719829   0.09004009  -0.01284180
    47   0.08129259   0.09372559  -0.01243300
    48   0.08580379   0.09824679  -0.01244300
    49   0.09059279   0.10211939  -0.01152660
    50   0.09405119   0.11137179  -0.01732060
    51   0.09677469   0.10942909  -0.01265440
    52   0.10044119   0.11055649  -0.01011530
    53   0.10520769   0.11831459  -0.01310690
    54   0.10753769   0.11844649  -0.01090880
    55   0.11283079   0.12610429  -0.01327350
    56   0.11729079   0.12988189  -0.01259110
    57   0.11868469   0.13232839  -0.01364370
    58   0.12186869   0.13206709  -0.01019840
    59   0.12481979   0.13782389  -0.01300410
    60   0.12908809   0.14243379  -0.01334570
    61   0.13292809   0.14573889  -0.01281080
    62   0.13858639   0.15162309  -0.01303670
    63   0.14274689   0.15947009  -0.01672320
    64   0.14104769   0.15647059  -0.01542290
    65   0.14946459   0.15850349  -0.00903890
    66   0.15140769   0.16563699  -0.01422930
    67   0.15310689   0.16884659  -0.01573970
    68   0.16197769   0.17255289  -0.01057520
    69   0.16309259   0.17687929  -0.01378670
    70   0.16561509   0.18215819  -0.01654310
    71   0.17402479   0.19722269  -0.02319790
    72   0.18977669   0.20557749  -0.01580080
    73   0.19556949   0.20743559  -0.01186610
    74   0.20145779   0.21464479  -0.01318700
    75   0.19914019   0.21128569  -0.01214550
    76   0.20556959   0.22305359  -0.01748400
    77   0.21129569   0.22183409  -0.01053840
    78   0.21576859   0.22993889  -0.01417030
    79   0.21647099   0.23199259  -0.01552160
    80   0.22497029   0.24084859  -0.01587830
