     n  Acc-superQR       Acc-QR        Delta
    01 1.13909883e-15 1.50267688e-15 -3.63578051e-16
    02 6.74252366e-16 6.74358022e-16 -1.05655430e-19
    03 1.48934540e-15 1.25112656e-15 2.38218840e-16
    04 1.21147407e-15 1.20289613e-15 8.57793482e-18
    05 1.09212062e-15 8.82749310e-16 2.09371312e-16
    06 6.93146042e-16 6.92343828e-16 8.02214153e-19
    07 1.11344338e-15 1.11566149e-15 -2.21811457e-18
    08 9.75713752e-16 9.76624947e-16 -9.11194994e-19
    09 7.26828514e-16 7.29065259e-16 -2.23674486e-18
    10 9.61427450e-16 1.15545268e-15 -1.94025234e-16
    11 1.24682933e-15 1.22081532e-15 2.60140051e-17
    12 1.16918236e-15 1.36528989e-15 -1.96107530e-16
    13 1.29661966e-15 1.09597985e-15 2.00639808e-16
    14 1.29968152e-15 1.40727504e-15 -1.07593525e-16
    15 1.95741016e-15 1.32698692e-15 6.30423243e-16
    16 9.47314073e-16 9.22808647e-16 2.45054259e-17
    17 1.29515077e-15 1.64400263e-15 -3.48851863e-16
    18 1.45184736e-15 1.31473087e-15 1.37116491e-16
    19 1.28234470e-15 1.20977192e-15 7.25727780e-17
    20 2.33930341e-15 1.62821110e-15 7.11092316e-16
    21 1.48652848e-15 1.27777522e-15 2.08753265e-16
    22 1.25948962e-15 1.19584446e-15 6.36451615e-17
    23 1.41585243e-15 1.14294920e-15 2.72903234e-16
    24 1.11131558e-15 1.13081103e-15 -1.94954515e-17
    25 1.13627509e-15 1.22938556e-15 -9.31104750e-17
    26 1.85211054e-15 1.37406596e-15 4.78044571e-16
    27 1.19542632e-15 1.23085099e-15 -3.54246653e-17
    28 2.06805699e-15 1.40870033e-15 6.59356658e-16
    29 1.06037311e-15 1.17557275e-15 -1.15199636e-16
    30 1.42786440e-15 1.69692308e-15 -2.69058680e-16
    31 1.27353119e-15 1.25041206e-15 2.31191307e-17
    32 1.53304883e-15 1.31800960e-15 2.15039229e-16
    33 1.76852719e-15 1.62547224e-15 1.43054950e-16
    34 1.47337354e-15 1.33158034e-15 1.41793194e-16
    35 1.08545685e-15 1.24294277e-15 -1.57485918e-16
    36 1.47842019e-15 1.20492333e-15 2.73496857e-16
    37 1.25676836e-15 1.14676592e-15 1.10002433e-16
    38 1.65537207e-15 1.28185948e-15 3.73512596e-16
    39 1.46157248e-15 1.16141768e-15 3.00154805e-16
    40 1.13245132e-15 1.26413592e-15 -1.31684597e-16
    41 1.46719291e-15 1.50479695e-15 -3.76040349e-17
    42 1.20606265e-15 1.24686796e-15 -4.08053103e-17
    43 1.32917130e-15 1.15903067e-15 1.70140629e-16
    44 1.50176128e-15 1.39274603e-15 1.09015249e-16
    45 1.63145337e-15 1.51599964e-15 1.15453736e-16
    46 1.17603469e-15 1.34519503e-15 -1.69160331e-16
    47 1.34634102e-15 1.65774636e-15 -3.11405332e-16
    48 1.47832315e-15 1.83303778e-15 -3.54714637e-16
    49 1.70257179e-15 1.40221323e-15 3.00358565e-16
    50 1.59156324e-15 1.35506000e-15 2.36503238e-16
    51 1.38401431e-15 1.81098142e-15 -4.26967110e-16
    52 1.28343797e-15 1.37260205e-15 -8.91640844e-17
    53 1.28188037e-15 1.34102903e-15 -5.91486568e-17
    54 1.79181945e-15 1.36403166e-15 4.27787788e-16
    55 1.40338727e-15 1.44657196e-15 -4.31846966e-17
    56 1.30940139e-15 1.32201395e-15 -1.26125549e-17
    57 1.08870750e-15 1.07608620e-15 1.26212999e-17
    58 1.26258359e-15 1.09326161e-15 1.69321984e-16
    59 1.46240985e-15 1.55759701e-15 -9.51871645e-17
    60 1.32066405e-15 1.34059633e-15 -1.99322772e-17
    61 1.20191715e-15 1.25276292e-15 -5.08457714e-17
    62 1.19826982e-15 1.18813004e-15 1.01397733e-17
    63 1.83560568e-15 1.54237616e-15 2.93229519e-16
    64 1.40215509e-15 1.11312572e-15 2.89029368e-16
    65 1.15624781e-15 1.14420958e-15 1.20382270e-17
    66 1.23037713e-15 1.23656982e-15 -6.19269455e-18
    67 1.19356311e-15 1.21284683e-15 -1.92837112e-17
    68 1.29736727e-15 1.33874662e-15 -4.13793528e-17
    69 1.33507894e-15 1.67477646e-15 -3.39697525e-16
    70 1.21967873e-15 1.72899526e-15 -5.09316524e-16
    71 1.39335969e-15 1.24682546e-15 1.46534225e-16
    72 1.29963462e-15 1.44865674e-15 -1.49022117e-16
    73 1.14925985e-15 1.13334749e-15 1.59123602e-17
    74 1.19172259e-15 1.23265316e-15 -4.09305698e-17
    75 1.11892225e-15 1.14917114e-15 -3.02488879e-17
    76 1.54003424e-15 1.37216780e-15 1.67866437e-16
    77 1.56883780e-15 1.99160727e-15 -4.22769469e-16
    78 1.17258199e-15 1.16428634e-15 8.29564529e-18
    79 1.42310319e-15 1.56686192e-15 -1.43758732e-16
    80 1.24759112e-15 1.19073564e-15 5.68554739e-17
