     x  Time-Solver     Time-Lib        Delta
    01   0.00244882   0.00029792   0.00215090
    02   0.00940482   0.00146442   0.00794040
    03   0.00268732   0.00032573   0.00236158
    04   0.00880012   0.00099812   0.00780200
    05   0.00931392   0.00109202   0.00822190
    06   0.01141552   0.00122052   0.01019500
    07   0.00378822   0.00041999   0.00336823
    08   0.01303042   0.00141962   0.01161080
    09   0.01265172   0.00140112   0.01125060
    10   0.01131752   0.00141102   0.00990650
    11   0.01530452   0.00137182   0.01393270
    12   0.01272292   0.00136702   0.01135590
    13   0.01306812   0.00115832   0.01190980
    14   0.01384932   0.00130612   0.01254320
    15   0.01417312   0.00144352   0.01272960
    16   0.01570292   0.00118262   0.01452030
    17   0.01557262   0.00170092   0.01387170
    18   0.01775332   0.00202682   0.01572650
    19   0.01875122   0.00211922   0.01663200
    20   0.02403142   0.00190312   0.02212830
    21   0.02189392   0.00197542   0.01991850
    22   0.02634662   0.00208482   0.02426180
    23   0.02687652   0.00201262   0.02486390
    24   0.03010602   0.00220832   0.02789770
    25   0.03160342   0.00222412   0.02937930
    26   0.03373272   0.00401392   0.02971880
    27   0.03721662   0.00231342   0.03490320
    28   0.03809032   0.00233402   0.03575630
    29   0.03951442   0.00237412   0.03714030
    30   0.04420892   0.00257052   0.04163840
    31   0.04502282   0.00290682   0.04211600
    32   0.05069392   0.00279032   0.04790360
    33   0.05537402   0.00281432   0.05255970
    34   0.05325972   0.00302252   0.05023720
    35   0.05705612   0.00302572   0.05403040
    36   0.05981432   0.00308522   0.05672910
    37   0.06379632   0.00311862   0.06067770
    38   0.06626872   0.00325572   0.06301300
    39   0.06833532   0.00346472   0.06487060
    40   0.07197042   0.00353092   0.06843950
    41   0.07539542   0.00365202   0.07174340
    42   0.07954002   0.00367462   0.07586540
    43   0.08142042   0.00386642   0.07755400
    44   0.08233122   0.00395232   0.07837890
    45   0.09275402   0.00330422   0.08944980
    46   0.09430142   0.00347242   0.09082900
    47   0.09772712   0.00385632   0.09387080
    48   0.09708242   0.00383262   0.09324980
    49   0.10064252   0.00352812   0.09711440
    50   0.10529892   0.00374082   0.10155810
    51   0.10741852   0.00372252   0.10369600
    52   0.11200142   0.00369852   0.10830290
    53   0.11692182   0.00387342   0.11304840
    54   0.11949602   0.00394132   0.11555470
    55   0.12555392   0.00405202   0.12150190
    56   0.12807572   0.00408962   0.12398610
    57   0.13186852   0.00422952   0.12763900
    58   0.13680472   0.00419562   0.13260910
    59   0.14090602   0.00434402   0.13656200
    60   0.14420022   0.00447002   0.13973020
    61   0.14522472   0.00467602   0.14054870
    62   0.15652192   0.00479622   0.15172570
    63   0.15514582   0.00486392   0.15028190
    64   0.15860602   0.00496042   0.15364560
    65   0.16161802   0.00508682   0.15653120
    66   0.16471812   0.00516982   0.15954830
    67   0.16902372   0.00517662   0.16384710
    68   0.17271082   0.00534092   0.16736990
    69   0.17686082   0.00553562   0.17132520
    70   0.18499322   0.00701472   0.17797850
    71   0.18653762   0.00576302   0.18077460
    72   0.19191282   0.00594602   0.18596680
    73   0.19637952   0.00603032   0.19034920
    74   0.20705782   0.00633172   0.20072610
    75   0.21651482   0.00655572   0.20995910
    76   0.22571832   0.00681632   0.21890200
    77   0.22378422   0.00614112   0.21764310
    78   0.22663022   0.00636272   0.22026750
    79   0.23559222   0.00649322   0.22909900
    80   0.24427222   0.00644502   0.23782720
