     n       Acc-QR    Acc-LibQR        Delta
    01 6.56019794e-16 5.95748072e-16 6.02717220e-17
    02 6.37154280e-16 5.74313334e-16 6.28409456e-17
    03 1.06481973e-15 1.20785468e-15 -1.43034949e-16
    04 7.37566872e-16 5.58313493e-16 1.79253380e-16
    05 5.86792700e-16 5.38223163e-16 4.85695368e-17
    06 1.09475174e-15 1.22198343e-15 -1.27231692e-16
    07 1.07659956e-15 1.24968721e-15 -1.73087654e-16
    08 9.42958218e-16 1.24586041e-15 -3.02902188e-16
    09 1.47622009e-15 9.92438092e-16 4.83782000e-16
    10 1.61812693e-15 1.27204744e-15 3.46079494e-16
    11 1.24418277e-15 1.11428437e-15 1.29898401e-16
    12 8.47065239e-16 1.17146770e-15 -3.24402457e-16
    13 1.48699364e-15 1.18496180e-15 3.02031839e-16
    14 1.34718559e-15 1.03029136e-15 3.16894233e-16
    15 2.56889181e-15 1.12645003e-15 1.44244178e-15
    16 1.85017799e-15 1.18908130e-15 6.61096690e-16
    17 1.22075668e-15 1.05545251e-15 1.65304165e-16
    18 1.29909484e-15 9.43575383e-16 3.55519456e-16
    19 1.69153753e-15 1.17619819e-15 5.15339345e-16
    20 1.30114146e-15 1.17526699e-15 1.25874464e-16
    21 1.67730676e-15 1.08353924e-15 5.93767519e-16
    22 1.42140285e-15 1.10725487e-15 3.14147975e-16
    23 1.31644234e-15 1.07183794e-15 2.44604401e-16
    24 1.22434488e-15 1.11888994e-15 1.05454941e-16
    25 1.16352966e-15 1.02642067e-15 1.37108992e-16
    26 1.03216289e-15 1.15629900e-15 -1.24136115e-16
    27 1.40508663e-15 1.16346475e-15 2.41621886e-16
    28 1.36839887e-15 1.09606883e-15 2.72330039e-16
    29 1.44865491e-15 1.16697314e-15 2.81681769e-16
    30 1.47954605e-15 9.51124260e-16 5.28421787e-16
    31 1.17956552e-15 1.10505411e-15 7.45114059e-17
    32 1.50391174e-15 9.85422571e-16 5.18489173e-16
    33 1.08704171e-15 1.10059401e-15 -1.35523020e-17
    34 2.01600562e-15 1.12182133e-15 8.94184296e-16
    35 1.37258358e-15 1.08953522e-15 2.83048363e-16
    36 1.48759457e-15 9.54391993e-16 5.33202575e-16
    37 1.32016948e-15 1.06383169e-15 2.56337794e-16
    38 2.33616759e-15 1.11289953e-15 1.22326806e-15
    39 1.40054652e-15 1.05497778e-15 3.45568736e-16
    40 1.76878994e-15 1.06245819e-15 7.06331751e-16
    41 1.19961149e-15 1.14620829e-15 5.34032072e-17
    42 1.25149512e-15 1.07296870e-15 1.78526423e-16
    43 1.12113456e-15 9.94025508e-16 1.27109049e-16
    44 1.41670110e-15 1.05930607e-15 3.57395028e-16
    45 1.35728154e-15 1.10232241e-15 2.54959127e-16
    46 1.25453401e-15 9.92414813e-16 2.62119192e-16
    47 1.79531109e-15 1.00030168e-15 7.95009413e-16
    48 1.29596007e-15 9.66886456e-16 3.29073617e-16
    49 2.00474733e-15 1.01777668e-15 9.86970648e-16
    50 1.10003733e-15 1.07556959e-15 2.44677426e-17
    51 1.77006946e-15 1.04515407e-15 7.24915389e-16
    52 2.11154681e-15 1.06927357e-15 1.04227324e-15
    53 1.13765526e-15 1.04703843e-15 9.06168306e-17
    54 1.54878436e-15 1.11873973e-15 4.30044633e-16
    55 1.18153595e-15 1.08519797e-15 9.63379712e-17
    56 1.23119881e-15 1.01919539e-15 2.12003419e-16
    57 1.31098107e-15 1.00620890e-15 3.04772168e-16
    58 1.34758350e-15 9.80859249e-16 3.66724254e-16
    59 1.20837804e-15 1.00640567e-15 2.01972371e-16
    60 1.80191595e-15 1.02091357e-15 7.81002383e-16
    61 1.84557672e-15 1.07450972e-15 7.71067002e-16
    62 1.56178492e-15 9.88192945e-16 5.73591975e-16
    63 1.41238392e-15 9.58965970e-16 4.53417947e-16
    64 1.51813038e-15 1.01592673e-15 5.02203648e-16
    65 1.13316662e-15 1.02711991e-15 1.06046716e-16
    66 1.38503191e-15 1.03251974e-15 3.52512167e-16
    67 1.61579435e-15 1.00613836e-15 6.09655995e-16
    68 1.37674880e-15 1.02212424e-15 3.54624560e-16
    69 1.88191184e-15 9.71440139e-16 9.10471699e-16
    70 1.43294790e-15 1.04480384e-15 3.88144062e-16
    71 1.36558666e-15 9.88482049e-16 3.77104609e-16
    72 1.32236620e-15 9.87026352e-16 3.35339848e-16
    73 1.55652584e-15 1.03833242e-15 5.18193419e-16
    74 1.37445317e-15 1.04632140e-15 3.28131769e-16
    75 1.49301561e-15 9.91745561e-16 5.01270047e-16
    76 1.34790690e-15 1.01920356e-15 3.28703343e-16
    77 1.57747303e-15 9.95972015e-16 5.81501012e-16
    78 1.43362421e-15 9.96995339e-16 4.36628869e-16
    79 1.57421091e-15 1.01466527e-15 5.59545647e-16
    80 1.22024429e-15 1.00966862e-15 2.10575671e-16
